id,players
1,David Seaman
2,Alan Miller
3,Tony Adams
4,Colin Pates
5,Gavin McGowan
6,Pal Lydersen
7,Steve Morrow
8,David O'Leary
9,Steve Bould
10,Scott Marshall
11,Nigel Winterburn
12,Andy Linighan
13,Lee Dixon
14,Martin Keown
15,Jimmy Carter
16,Mark Flatts
17,John Jensen
18,David Hillier
19,Ray Parlour
20,Ian Selley
21,Paul Davis
22,Anders Limpar
23,Paul Merson
24,Paul Shaw
25,Kevin Campbell
26,Alan Smith
27,Paul Dickov
28,Neil Heaney
29,Ian Wright
32,Mark Bosnich
33,Nigel Spink
34,Michael Oakes
35,Ugo Ehiogu
36,Dariusz Kubicki
37,Paul McGrath
38,Earl Barrett
39,Shaun Teale
40,Neil Cox
41,Steve Staunton
42,Bryan Small
43,Kevin Richardson
44,Mark Blake
45,Gareth Farrelly
46,Stephen Froggatt
47,Ray Houghton
48,Garry Parker
49,David Farrell
50,Stefan Beinlich
51,Matthias Breitkreutz
52,Tony Daley
53,Chris Boden
54,Neil Davis
55,Martin Carruthers
56,Henrik Larsen
57,Graham Fenton
58,Frank McAvennie
59,Dwight Yorke
60,Dean Saunders
61,Cyrille Regis
62,Dalian Atkinson
64,Bobby Mimms
65,Matt Dickins
66,Frank Talia
67,David May
68,Nicky Marker
69,Tony Dobson
70,Graeme Le Saux
71,Kevin Moran
72,Alan Wright
73,Patrik Andersson
74,Henning Berg
75,Colin Hendry
76,Richard Brown
77,Simon Ireland
78,Tim Sherwood
79,Stuart Ripley
80,Jason Wilcox
81,Chris Price
82,Wayne Burnett
83,Mark Atkins
84,Gordon Cowans
85,Lee Makel
86,Mike Newell
87,Kevin Gallacher
88,Peter Thorne
89,Alan Shearer
91,Dave Beasant
92,Kevin Hitchcock
93,Dmitri Kharin
94,Nick Colgan
95,Nigel Spackman
96,Ian Pearce
97,Paul Elliott
98,Darren Barnard
99,Gareth Hall
100,Mal Donaghy
101,Erland Johnsen
102,Andy Myers
103,Frank Sinclair
104,Anthony Barness
105,Steve Clarke
106,David Lee
107,Dennis Wise
108,David Hopkin
109,Craig Burley
110,Eddie Newton
111,Graham Stuart
112,Andy Townsend
113,Alan Dickens
114,Damien Matthew
115,Tony Cascarino
116,Neil Shipperley
117,John Spencer
118,Steve Livingstone
119,Robert Fleck
122,Steve Ogrizovic
123,Jonathan Gould
124,David Rennie
125,Peter Atherton
126,Chris Greenman
127,David Busst
128,Phil Babb
129,Andy Pearce
130,Brian Borrows
131,Ray Woods
132,Lloyd McGrath
133,Sean Flynn
134,Mike Flynn
135,Stewart Robson
136,Willie Boland
137,Lee Hurst
138,John Williams
139,Roy Wegerle
140,Leigh Jenkinson
141,Tony Sheridan
142,Mick Quinn
143,Peter Ndlovu
145,Jimmy Glass
146,Nigel Martyn
147,John Humphrey
148,Andy Thorn
149,Paul Williams
150,Eric Young
151,Dean Gordon
152,Chris Coleman
153,Gareth Southgate
154,Richard Shaw
155,Bobby Bowry
156,Eddie McGoldrick
157,Stuart Massey
158,Paul Mortimer
159,John Salako
160,Simon Rodger
161,Lee Sinnott
162,Ricky Newman
163,Louie Donowa
164,Martyn O'Connor
165,Geoff Thomas
166,Lou Macari
167,Chris Armstrong
168,George Ndah
169,Grant Watts
171,Jason Kearton
172,Neville Southall
173,Gerry Peyton
174,Dave Watson
175,Iain Jenkins
176,Neil Moore
177,Matt Jackson
178,Kenny Sansom
179,Andy Hinchcliffe
180,Gary Ablett
181,David Unsworth
182,Paul Holmes
183,Alan Harper
184,Mark Ward
185,Billy Kenny
186,Barry Horne
187,Peter Beagrie
188,John Doolan
189,Ian Snodin
190,Robert Warzycha
191,Preki
192,John Ebbrell
193,Tony Cottee
194,Peter Beardsley
195,Stuart Barlow
196,Paul Rideout
197,Mo Johnston
199,Clive Baker
200,Craig Forrest
201,Frank Yallop
202,Steve Palmer
203,Geraint Williams
204,John Wark
205,Neil Thompson
206,David Linighan
207,Eddie Youds
208,Phil Whelan
209,Gavin Johnson
210,Glenn Pennyfather
211,Simon Milton
212,Jason Dozzell
213,David Gregory
214,Steve Whitton
215,Adam Tanner
216,Mick Stockwell
217,Lee Durrant
218,Vlado Bozinoski
219,Paul Goddard
220,Neil Gregory
221,Bontcho Guenchev
222,Chris Kiwomya
224,Paul Pettinger
225,John Lukic
226,Mark Beeney
227,Rob Bowman
228,David Wetherall
229,Tony Dorigo
230,David Kerslake
231,Jon Newsome
232,Kevin Sharp
233,Dylan Kerr
234,Chris Fairclough
235,Frank Strandli
236,Ray Wallace
237,David Rocastle
238,Gary McAllister
239,Gary Speed
240,Steve Hodge
241,Mark Tinkler
242,Gordon Strachan
243,David Batty
244,Carl Shutt
245,Noel Whelan
246,Lee Chapman
247,Jamie Forrester
248,Rod Wallace
250,Mike Hooper
251,Bruce Grobbelaar
252,David James
253,Steve Nicol
254,Steve Harkness
255,Nicky Tanner
256,David Burrows
257,Torben Piechnik
258,Mark Wright
259,Dominic Matteo
260,Stig Inge Bjornebye
261,Rob Jones
262,Jamie Redknapp
263,Michael Thomas
264,Mike Marsh
265,Phil Charnock
266,Mark Walters
267,Jan Molby
268,Istvan Kozma
269,John Barnes
270,Ronnie Whelan
271,Steve McManaman
272,Don Hutchison
273,Lee Jones
274,Ronnie Rosenthal
275,Ian Rush
276,Paul Stewart
277,Robbie Fowler
279,Tony Coton
280,Andy Dibble
281,Martyn Margetson
282,Keith Curle
283,Ray Ranson
284,Kare Ingebrigtsen
285,Ian Brightwell
286,David Brightwell
287,Michel Vonk
288,Scott Thomas
289,John Foster
290,Richard Edghill
291,Terry Phelan
292,Andy Hill
293,Steve Lomas
294,Steve McMahon
295,David White
296,Richard Holden
297,Fitzroy Simpson
298,David Kerr
299,Mike Quigley
300,Garry Flitcroft
301,Peter Reid
302,Paul Lake
303,Adie Mike
304,Niall Quinn
305,Mike Sheron
307,Peter Schmeichel
308,Kevin Pilkington
309,Gary Walsh
310,Les Sealey
311,Brian Carey
312,Neil Whitworth
313,John O'Kane
314,Pat McGibbon
315,Denis Irwin
316,Lee Martin
317,Paul Parker
318,Chris Casper
319,Steve Bruce
320,Gary Pallister
321,Gary Neville
322,Bryan Robson
323,Darren Ferguson
324,Andrei Kanchelskis
325,Clayton Blackmore
326,Paul Ince
327,Ben Thornley
328,Lee Sharpe
329,Keith Gillespie
330,Mike Phelan
331,David Beckham
332,Nicky Butt
333,Simon Davies
334,Russell Beardsmore
335,Ryan Giggs
336,Paul Scholes
337,Brian McClair
338,Dion Dublin
339,Mark Hughes
340,Colin McKee
341,Danny Wallace
342,Eric Cantona
345,Steve Pears
346,Ian Ironside
347,Andy Collett
348,Jon Gittens
349,Curtis Fleming
350,Nicky Mohan
351,Michael Barron
352,Alan Kernaghan
353,Andy Peake
354,Derek Whyte
355,Jimmy Phillips
356,Andrew Todd
357,Chris Kamara
358,Graham Kavanagh
359,Phil Stamp
360,Alan Moore
361,Chris Morris
362,Jamie Pollock
363,Robbie Mustoe
364,Dwight Marshall
365,Craig Hignett
366,John Hendrie
367,Willie Falconer
368,Paul Wilkinson
369,Tommy Wright
371,Bryan Gunn
372,John Polston
373,Daryl Sutch
374,Jason Minett
375,Colin Woodthorpe
376,Mark Bowen
377,Gary Megson
378,Ian Culverhouse
379,Ian Butterworth
380,Rob Newman
381,David Smith
382,Ian Crook
383,Jeremy Goss
384,Darren Eadie
385,Andy Johnson
386,Mark Robins
387,Jamie Cureton
388,Ruel Fox
389,Efan Ekoku
390,Chris Sutton
391,Lee Power
393,Andy Marriott
394,Mark Crossley
395,Stuart Pearce
396,Gary Charles
397,Carl Tiler
398,Steve Chettle
399,Brett Williams
400,Steve Blatherwick
401,Scot Gemmill
402,Thorvaldu Örlygsson
403,Bobby Howe
404,Ian Woan
405,Ian Kilford
406,Steve Stone
407,Roy Keane
408,Kingsley Black
409,Neil Webb
410,Gary Crosby
411,Nigel Clough
412,Robert Rosario
413,Paul McGregor
415,Jon Hallworth
416,Paul Gerrard
417,Ian Gray
418,Andy Barlow
419,Craig Fleming
420,Neil Pointon
421,Neil McDonald
422,Steve Redmond
423,Gunnar Halle
424,Chris Makin
425,Richard Jobson
426,Ian Marshall
427,Mark Brennan
428,Nick Henry
429,Mike Milligan
430,Neil Adams
431,Paul Bernard
432,Graeme Sharp
433,Roger Palmer
434,Andy Ritchie
435,Paul Moulden
436,Ian Olney
437,Orpheo Keizerweerd
438,Neil Tolson
439,Darren Beckford
441,Jan Stejskal
442,Tony Roberts
443,Danny Maddix
444,Karl Ready
445,Rufus Brevett
446,Ian Holloway
447,David Bardsley
448,Darren Peacock
449,Brian Croft
450,Alan McCarthy
451,Alan McDonald
452,Clive Wilson
453,Andy Impey
454,Maurice Doyle
455,Ray Wilkins
456,Andy Sinton
457,Marvin Bryan
458,Devon White
459,Michael Meaker
460,Simon Barker
461,Dennis Bailey
462,Les Ferdinand
463,Bradley Allen
464,Garry Thompson
